Country,Item,Year,Yield (100 hg/ha),Pesticides (Tons),Rainfall (mm),NPK Fertilizers (Tons)
Norway,Potatoes,2015,257857,631.03,1414.0,361436.0
Norway,Potatoes,2016,292724,676.0,1414.0,354650.0
Norway,Potatoes,2017,269014,671.0,1414.0,346033.0
Norway,Potatoes,2018,281040,614.0,1414.0,348499.0
Norway,Potatoes,2019,284272,604.0,1414.0,351539.0
Oman,Potatoes,2009,284100,234.86,125.0,3133.0
Oman,Potatoes,2010,210880,255.91,125.0,3910.0
Oman,Potatoes,2011,259100,292.32,125.0,5665.0
Pakistan,Potatoes,2009,202848,15859.64,494.0,47623.0
Pakistan,Potatoes,2010,226823,14862.71,494.0,73188.0
