Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFB","Fertilizers by Product","178","Congo","5157","Agricultural Use","4021","NPK fertilizers","2010","2010","t","434","I","Imputed value"
"RFB","Fertilizers by Product","178","Congo","5157","Agricultural Use","4021","NPK fertilizers","2011","2011","t","721","I","Imputed value"
"RFB","Fertilizers by Product","184","Cook Islands","5157","Agricultural Use","4021","NPK fertilizers","2009","2009","t","108","I","Imputed value"
"RFB","Fertilizers by Product","184","Cook Islands","5157","Agricultural Use","4021","NPK fertilizers","2010","2010","t","38.05","A","Official figure"
"RFB","Fertilizers by Product","184","Cook Islands","5157","Agricultural Use","4021","NPK fertilizers","2011","2011","t","38.05","A","Official figure"
"RFB","Fertilizers by Product","188","Costa Rica","5157","Agricultural Use","4021","NPK fertilizers","2009","2009","t","11999","I","Imputed value"
"RFB","Fertilizers by Product","188","Costa Rica","5157","Agricultural Use","4021","NPK fertilizers","2010","2010","t","32220","I","Imputed value"
"RFB","Fertilizers by Product","188","Costa Rica","5157","Agricultural Use","4021","NPK fertilizers","2011","2011","t","24393","I","Imputed value"
"RFB","Fertilizers by Product","384","Côte d'Ivoire","5157","Agricultural Use","4021","NPK fertilizers","2011","2011","t","42","I","Imputed value"
"RFB","Fertilizers by Product","384","Côte d'Ivoire","5157","Agricultural Use","4021","NPK fertilizers","2017","2017","t","4697.16","A","Official figure"
"RFB","Fertilizers by Product","384","Côte d'Ivoire","5157","Agricultural Use","4021","NPK fertilizers","2018","2018","t","49301.55","A","Official figure"
"RFB","Fertilizers by Product","384","Côte d'Ivoire","5157","Agricultural Use","4021","NPK fertilizers","2019","2019","t","37840.18","A","Official figure"
"RFB","Fertilizers by Product","191","Croatia","5157","Agricultural Use","4021","NPK fertilizers","2009","2009","t","166124","I","Imputed value"
"RFB","Fertilizers by Product","191","Croatia","5157","Agricultural Use","4021","NPK fertilizers","2010","2010","t","445254","I","Imputed value"
"RFB","Fertilizers by Product","191","Croatia","5157","Agricultural Use","4021","NPK fertilizers","2011","2011","t","346999","I","Imputed value"
"RFB","Fertilizers by Product","191","Croatia","5157","Agricultural Use","4021","NPK fertilizers","2013","2013","t","93095","A","Official figure"
"RFB","Fertilizers by Product","191","Croatia","5157","Agricultural Use","4021","NPK fertilizers","2014","2014","t","143914","A","Official figure"
"RFB","Fertilizers by Product","191","Croatia","5157","Agricultural Use","4021","NPK fertilizers","2015","2015","t","142694","A","Official figure"
"RFB","Fertilizers by Product","191","Croatia","5157","Agricultural Use","4021","NPK fertilizers","2016","2016","t","52990","A","Official figure"
"RFB","Fertilizers by Product","191","Croatia","5157","Agricultural Use","4021","NPK fertilizers","2017","2017","t","157633","A","Official figure"
"RFB","Fertilizers by Product","191","Croatia","5157","Agricultural Use","4021","NPK fertilizers","2018","2018","t","164081","A","Official figure"
"RFB","Fertilizers by Product","191","Croatia","5157","Agricultural Use","4021","NPK fertilizers","2019","2019","t","155195","A","Official figure"
"RFB","Fertilizers by Product","192","Cuba","5157","Agricultural Use","4021","NPK fertilizers","2009","2009","t","43520","I","Imputed value"
"RFB","Fertilizers by Product","192","Cuba","5157","Agricultural Use","4021","NPK fertilizers","2010","2010","t","66514","I","Imputed value"
"RFB","Fertilizers by Product","192","Cuba","5157","Agricultural Use","4021","NPK fertilizers","2011","2011","t","91814.96","I","Imputed value"
"RFB","Fertilizers by Product","196","Cyprus","5157","Agricultural Use","4021","NPK fertilizers","2009","2009","t","21762","A","Official figure"
"RFB","Fertilizers by Product","196","Cyprus","5157","Agricultural Use","4021","NPK fertilizers","2010","2010","t","18098.82","A","Official figure"
"RFB","Fertilizers by Product","196","Cyprus","5157","Agricultural Use","4021","NPK fertilizers","2011","2011","t","14945.95","A","Official figure"
"RFB","Fertilizers by Product","196","Cyprus","5157","Agricultural Use","4021","NPK fertilizers","2012","2012","t","18888","A","Official figure"
"RFB","Fertilizers by Product","196","Cyprus","5157","Agricultural Use","4021","NPK fertilizers","2013","2013","t","17317","A","Official figure"
"RFB","Fertilizers by Product","196","Cyprus","5157","Agricultural Use","4021","NPK fertilizers","2014","2014","t","14058","A","Official figure"
"RFB","Fertilizers by Product","196","Cyprus","5157","Agricultural Use","4021","NPK fertilizers","2015","2015","t","16520","A","Official figure"
"RFB","Fertilizers by Product","196","Cyprus","5157","Agricultural Use","4021","NPK fertilizers","2016","2016","t","19875","A","Official figure"
"RFB","Fertilizers by Product","196","Cyprus","5157","Agricultural Use","4021","NPK fertilizers","2017","2017","t","20546","A","Official figure"
"RFB","Fertilizers by Product","196","Cyprus","5157","Agricultural Use","4021","NPK fertilizers","2018","2018","t","20634","A","Official figure"
"RFB","Fertilizers by Product","196","Cyprus","5157","Agricultural Use","4021","NPK fertilizers","2019","2019","t","29669.12","A","Official figure"
"RFB","Fertilizers by Product","203","Czechia","5157","Agricultural Use","4021","NPK fertilizers","2009","2009","t","6525","I","Imputed value"
"RFB","Fertilizers by Product","203","Czechia","5157","Agricultural Use","4021","NPK fertilizers","2010","2010","t","34579","I","Imputed value"
"RFB","Fertilizers by Product","203","Czechia","5157","Agricultural Use","4021","NPK fertilizers","2011","2011","t","28634","I","Imputed value"
"RFB","Fertilizers by Product","203","Czechia","5157","Agricultural Use","4021","NPK fertilizers","2012","2012","t","71626","A","Official figure"
"RFB","Fertilizers by Product","203","Czechia","5157","Agricultural Use","4021","NPK fertilizers","2013","2013","t","52906","A","Official figure"
"RFB","Fertilizers by Product","203","Czechia","5157","Agricultural Use","4021","NPK fertilizers","2014","2014","t","76926","A","Official figure"
"RFB","Fertilizers by Product","203","Czechia","5157","Agricultural Use","4021","NPK fertilizers","2015","2015","t","82155","A","Official figure"
"RFB","Fertilizers by Product","203","Czechia","5157","Agricultural Use","4021","NPK fertilizers","2016","2016","t","92589","A","Official figure"
"RFB","Fertilizers by Product","203","Czechia","5157","Agricultural Use","4021","NPK fertilizers","2017","2017","t","86125","A","Official figure"
